Month,max_temp,min_temp,daily_rain,sunshine_hours,humidity
 1975 Jan ,30.5,22.8,41,6.2,85.8
 1975 Feb ,30.4,23,38,4.8,86.2
 1975 Mar ,31.1,23.1,40,5.8,87.8
 1975 Apr ,31.1,23.8,16.7,5.7,87.9
 1975 May ,31.4,24,49,5.6,86.1
 1975 Jun ,30.6,23.7,71,4.9,86.5
 1975 Jul ,30,22.9,54.2,6.1,86.5
 1975 Aug ,30.3,23.6,62,6,86.3
 1975 Sep ,30.3,23.5,45.1,5.5,86.8
 1975 Oct ,30.5,23.3,52.1,4.4,86
 1975 Nov ,29.2,22.8,58,3.4,89.7
 1975 Dec ,29.7,22.9,31,4.9,87.4
 1976 Jan ,30.1,22.1,34.5,7.4,80.4
 1976 Feb ,31.9,22.5,62.7,7.8,79.1
 1976 Mar ,31.3,23.2,51.8,6,83.4
 1976 Apr ,31,23.4,73.4,5.3,86.3
 1976 May ,31.1,24.3,28.1,6.8,85
 1976 Jun ,31.2,23.8,42.1,6.4,83.5
 1976 Jul ,30.3,23.6,83.8,6.1,84.6
 1976 Aug ,30.5,23.7,57.1,6.8,85.8
 1976 Sep ,30.8,23.6,76.5,5.9,85.3
 1976 Oct ,30.7,23.4,69.5,4.5,87.6
 1976 Nov ,30.2,23.2,56.3,4.2,88.5
 1976 Dec ,29.5,23.1,72.5,5.3,89.9
 1977 Jan ,30.7,22.8,25.4,7.3,83.1
 1977 Feb ,29.5,22.9,93.5,3.7,86.8
 1977 Mar ,31.2,23.2,10.3,7.5,82
 1977 Apr ,32.7,24.4,9.4,6.7,81.1
 1977 May ,32.4,24.4,40.8,6.4,83.3
 1977 Jun ,31.2,24.3,37.8,5.3,86.8
 1977 Jul ,30.6,24.3,28.5,6.5,86.2
 1977 Aug ,30.4,23.3,64.9,5.2,86.7
 1977 Sep ,30.6,23.8,40.4,5.1,86.5
 1977 Oct ,31.5,24,27.6,6,85.4
 1977 Nov ,29.9,23.3,54.1,3.8,90.3
 1977 Dec ,29.9,23.5,63.8,5.4,89.3
 1978 Jan ,30.1,23.3,86.2,5.6,87.5
 1978 Feb ,31.3,23.5,23.6,7.3,84.5
 1978 Mar ,31.8,23.9,50.5,6.1,85.7
 1978 Apr ,32.1,23.9,45.2,6.6,85.9
 1978 May ,31.8,24.6,29.8,5.2,86.9
 1978 Jun ,31.2,23.8,34.3,5.7,85.3
 1978 Jul ,31,23.8,53.8,5.8,84.9
 1978 Aug ,31.3,24.4,42.2,5.6,82.6
 1978 Sep ,30.5,23.8,61.7,4.8,86.1
 1978 Oct ,30.9,23.9,44.6,4.4,86.8
 1978 Nov ,30.1,23.2,116.9,3.8,88.5
 1978 Dec ,29.8,23,512.4,5.2,88.7
 1979 Jan ,30.8,23,26.2,7.5,83.5
 1979 Feb ,32.2,23.7,39.8,7.5,83.5
 1979 Mar ,32.2,23.9,25.1,6,84.1
 1979 Apr ,31.1,24,40,4.5,88.5
 1979 May ,32,24.3,43.6,6,86
 1979 Jun ,30.6,24.3,64.6,5.2,87.4
 1979 Jul ,30.2,24.2,53,5.5,85.2
 1979 Aug ,30.9,24.7,62.7,7.5,83.7
 1979 Sep ,30.7,23.8,29.4,5.6,85.7
 1979 Oct ,30.9,24,90.6,4.3,86
 1979 Nov ,29.8,23.4,72.2,3,91.1
 1979 Dec ,30.4,22.9,48.9,5.9,85.4
 1980 Jan ,30.4,22.9,133.5,6.5,85.6
 1980 Feb ,31.1,23.3,30.7,7.4,85.9
 1980 Mar ,32.3,23.9,18.9,6.7,84.8
 1980 Apr ,31.4,24,57.8,4.9,86.7
 1980 May ,31.8,25,74,6.5,85.4
 1980 Jun ,31.5,24.8,39.5,6.1,85.4
 1980 Jul ,31.1,24.6,44.3,6.1,85
 1980 Aug ,30,23.6,87.7,4.8,86.3
 1980 Sep ,31.2,23.7,40.9,5.3,85.8
 1980 Oct ,31.1,23.7,78.6,5.4,85.1
 1980 Nov ,30.4,23.5,47.1,4.2,89.2
 1980 Dec ,29.6,23.3,41.4,3.9,88.6
 1981 Jan ,30.3,22.6,20.2,5.9,82.1
 1981 Feb ,31.2,23.1,48.4,7,84.5
 1981 Mar ,32.2,24,37.6,7.7,82.3
 1981 Apr ,31.7,24.2,49.9,4.7,86.2
 1981 May ,31.6,24.5,44.4,4.2,87.3
 1981 Jun ,32.7,24.9,26.9,6.8,81
 1981 Jul ,31.1,24.5,39.6,6.1,81.4
 1981 Aug ,32.1,25.7,23.8,7.9,77.9
 1981 Sep ,30.9,24.2,37,4.8,79
 1981 Oct ,31.5,24.6,17.6,5.7,85.6
 1981 Nov ,30.9,24.1,16.6,3.7,83.3
 1981 Dec ,29.6,23.6,79.7,5,87
 1982 Jan ,29.8,23.3,28.9,5.6,83.7
 1982 Feb ,32.3,23.9,45,7.6,82.1
 1982 Mar ,31.7,24.3,24.6,5.1,85.4
 1982 Apr ,31.4,24.3,59.4,4.7,88.1
 1982 May ,31.7,25.2,44.7,5.8,85.6
 1982 Jun ,31.9,26,39.6,7.3,81.8
 1982 Jul ,31.6,25.5,18.8,7.6,80.3
 1982 Aug ,31.1,25,121.5,5.4,83.7
 1982 Sep ,31.4,25.3,15.8,5.2,83.7
 1982 Oct ,32.1,24.3,34.6,5.6,83.6
 1982 Nov ,32.4,24.5,67,5.8,86.3
 1982 Dec ,29.9,23.9,95.8,3.3,88.7
 1983 Jan ,30.3,24,56,4.3,87.4
 1983 Feb ,33.1,24.8,33.9,9.3,81.4
 1983 Mar ,34.4,25.4,54.1,8.9,80.3
 1983 Apr ,34.3,26.3,26.4,6.6,81.6
 1983 May ,32.5,25.2,48.2,5.9,86.4
 1983 Jun ,31.9,25.3,29.1,5.9,84.7
 1983 Jul ,31,24.9,41.6,5.4,86.3
 1983 Aug ,31.5,25.6,56.2,6.3,83.1
 1983 Sep ,31,24.7,112.9,3.9,84.6
 1983 Oct ,31.5,24.7,37.3,5.2,82
 1983 Nov ,30.5,24,65.1,3.2,86.1
 1983 Dec ,28.9,23.3,112.3,2.7,89.7
 1984 Jan ,29.5,22.9,62.3,4.1,85.8
 1984 Feb ,30,23.4,154.4,4.1,86
 1984 Mar ,30.8,23.8,119.4,5.3,85.4
 1984 Apr ,31.3,24.5,38.7,6.2,83.8
 1984 May ,31.3,24.5,46,6.4,84.1
 1984 Jun ,31.1,24.7,121.1,5.4,83.1
 1984 Jul ,30.7,24.7,49.2,5.7,83.7
 1984 Aug ,31.2,24.3,22.5,6,84.1
 1984 Sep ,30.9,23.7,46.5,4.9,83.9
 1984 Oct ,31.6,24.3,47.2,5.2,82.5
 1984 Nov ,31,24,35.4,4.3,86.3
 1984 Dec ,30,23.6,58.4,3.3,86.7
 1985 Jan ,31.2,23.6,35.5,8.7,81.5
 1985 Feb ,32.1,24.1,18.7,6.5,84
 1985 Mar ,31.8,24.2,23.8,5.6,83.9
 1985 Apr ,32.2,27.5,29.3,5.5,83.8
 1985 May ,31.8,25.2,36.2,5.7,83.4
